,nombre,tipo,latitud_y,longitud_x,fuente
151,STUDIO RECOLETA/PLAZA FRANCIA /UBA/ MUSEOS / METRO,Entire home/apt,-34.590920000000004,-58.395030000000006,Airbnb
152,"Boedo, quiet wooded neighborhood",Private room,-34.6317,-58.41718,Airbnb
153,HabitacionPrivate Rooms in Congreso,Private room,-34.60735,-58.4029,Airbnb
154,Nice and bright studio in Recoleta,Entire home/apt,-34.5872,-58.40051999999999,Airbnb
155,Apartement Buenos Aires,Entire home/apt,-34.612970000000004,-58.38701,Airbnb
156,Beautiful apartment in Buenos Aires,Private room,-34.64889,-58.40792,Airbnb
157,LEMON TREE ★ 1 bedroom with great views,Entire home/apt,-34.59468,-58.40493000000001,Airbnb
158,❤  Amazing Sunset View Studio +Balcony❤Pool -Gym,Entire home/apt,-34.59435,-58.40521,Airbnb
159,Sunny Terrace Apart. in Downtown BA,Entire home/apt,-34.613479999999996,-58.38326,Airbnb
160,Departamento Parque chacabuco,Private room,-34.63438,-58.44546,Airbnb
161,Spotless apt. in a Great location. 100% Equipped.,Entire home/apt,-34.62053,-58.41653,Airbnb
162,"Loft Style, modern,bright &spacious",Entire home/apt,-34.5918,-58.41389,Airbnb
163,Central to Everything,Entire home/apt,-34.59575,-58.406859999999995,Airbnb
164,Central location/2min from Metro -  Fast WiFi,Entire home/apt,-34.62032,-58.416019999999996,Airbnb
165,Cute Apartment - WiFi & Pool !!,Entire home/apt,-34.60282,-58.428619999999995,Airbnb
166,PalermoSoho Excellent Location! steps from LaRural,Entire home/apt,-34.58207,-58.42094,Airbnb
167,Apartment in Recoleta Juncal 2200,Entire home/apt,-34.592940000000006,-58.40048,Airbnb
168,Habitación en Las Cañitas,Private room,-34.565329999999996,-58.43481,Airbnb
169,The Boss- 2 bedroom with balcony,Entire home/apt,-34.58243,-58.42519,Airbnb
170,PENTHOUSE Duplex in Palermo with RooftopTerrace!!,Entire home/apt,-34.59324,-58.438190000000006,Airbnb
171,Boutique Central Apt in BuenosAires,Entire home/apt,-34.6056,-58.3955,Airbnb
172,Owner Featured on HGTV- Spacious Palermo Soho Loft,Entire home/apt,-34.58735,-58.421859999999995,Airbnb
173,Recoleta full equipped Apartment,Entire home/apt,-34.58976,-58.3981,Airbnb
174,San Telmo Vintage - Art Experience Fully Renovated,Entire home/apt,-34.61562,-58.36852,Airbnb
175,"3 Bedrooms / 2 Bathroom, Off & Ldy Apt in Palermo",Entire home/apt,-34.58712,-58.42184,Airbnb
176,Tango and Enjoyment of Buenos Aires,Private room,-34.57566,-58.48381,Airbnb
